Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
Soda Pass,3,0,0.3,0,3,0.1,555,"1,029"
idotdotdots,3,0,0.3,0,7,0,555,"2,187"
Revolvessence,3,0,0.8,0,8,0,552,"1,024"
WTF Official,3,0,0.5,0,9,0,550,"2,000"
MillionPieces,3,0,0.6,0,21,0.2,549,"3,672"
The Mad Lads,3,0,14.1,0,496,0,546,"3,531"
Cityroots Old,3,0,0.3,0,5,0.1,545,"1,599"
Weiner Fish,3,0,4,0,113,0,545,"2,800"
OurPath,3,0,1.6,0,29,0.4,542,"1,875"
UnDeadz Official,3,0,0.3,0,3,0,537,"1,010"
Blocky Doge: Guilds,3,0,0.3,0.2,3,0.6,530,"1,000"
Dissrup - Ducks,3,0,,0.1,4,0.3,528,3
Lootlang Official,3,0,0.5,0,6,0,526,"1,347"
Bold and Brash Club,3,0,7.4,0,193,0,526,"2,616"
Curse NFT Tickets,3,0,0.5,0,5,0.2,525,"1,000"
Legends of Metaterra by hideo,3,0,0.7,0.3,7,2.1,524,"1,024"
Doadz,3,0,0.5,0,3,0.1,523,607
FoliaVirus,3,0,0.6,0,3,0,522,523
LEGENDZ,3,0,0.7,0.1,9,0.5,513,"1,235"
DeadHeads Vessels,3,0,3.2,0.4,30,12,512,936
Bitbones,3,0,0.6,0.1,6,0.8,509,"1,000"
processed (art): mirage,3,0,2,0,15,0.3,509,768
CryptoPunk Art Club Collection,3,0,0.6,0,6,0,508,"1,060"
Parable NFT,3,0,0.6,0,17,0,506,"2,911"
Posh Pandas,3,0,1.1,0,16,0,500,"1,467"
NFT-LOTTERY - H4N9ayh2uU,3,0,0.6,0.1,3,0.2,496,500
PixelMap,3,0,0.2,1.8,4,7,495,"1,633"
Antimasks,3,0,1,0,15,0.2,494,"1,551"
Mirror Editions - S3duy1QQzE,3,0,0.7,0.1,4,0.4,493,582
EtherValentines by EtherTulips,3,0,0.2,0,6,0.1,490,"2,588"
Redlion Studios,3,0,0.4,0,6,0.1,489,"1,650"
Dojo Warriors,3,0,1.4,0,17,0.5,484,"1,222"
CyberBabies.io,3,0,0.6,1.5,3,4.4,479,500
EtherHeads by Neoc,3,0,0.6,0,16,0.3,476,"2,678"
Two Bit Bears + Honey,3,0,,0.4,3,1.2,470,1
Channel-S0,3,0,0.9,0.3,6,1.7,469,636
Staked DeadHeads,3,0,1.9,0,27,0,461,"1,442"
Saconi Holmovimiento,3,0,0.4,0,7,0,458,"1,999"
Artificial Intelligence Art V2,3,0,0.4,0,4,0.2,452,"1,000"
Sidenoun,3,0,0.4,0.1,7,0.4,449,"2,009"
UnStackedToadz,3,0,0.1,0,14,0.1,448,"9,999"
Humach,3,0,0.5,0,9,0.2,445,"1,711"
Paper Chasers,3,0,1.3,0,26,0,444,"2,021"
Rekt Anniversary Tickets,3,0,,0.1,3,0.2,443,3
Fat Punks Official,3,0,0.7,0,7,0.1,442,999
Titan Tiki,3,0,0.3,0.3,3,0.9,440,"1,000"
BAE- erc-1155,3,0,0.1,0,1,0,440,"1,552"
Blaschke Ballet by NumbersInMotion,3,0,0.7,0.1,4,0.5,439,600
renaiss.art,3,0,1.5,0,19,0,438,"1,294"
MF POOMA,3,0,0.3,0,3,0,437,972
Mallows BYOA,3,0,0.2,0,4,0,431,"2,584"
etherstar,3,0,0.4,0.1,4,0.4,426,"1,000"
Savannah Pixels,3,0,4.3,0,82,0.6,421,"1,911"
Frog Game GEN 0,3,0,0.7,0,20,0,419,"3,000"
EtherBeanz,3,0,0.5,0,5,0,418,"1,000"
Strawberries by TheFruitNFT,3,0,0.1,0,3,0,409,"5,423"
Resurrectables,3,0,,0,4,0.1,401,4
Space Pod Stuff,3,0,83.3,0,5,0,399,6
lurk loves you,3,0,18.3,0.1,11,1,397,60
BAXYC,3,0,0.4,0,13,0,395,"3,387"
MojoHeads,3,0,0.7,0.2,7,1.7,392,"1,050"
On Chain Hex Truchet Tiles,3,0,2.3,0,35,0,386,"1,555"
Karma DAO,3,0,0.6,1.8,3,5.4,381,503
Token Hash,3,0,0.3,0,3,0,381,"1,000"
Eminem,3,0,0.2,0.1,7,0.8,375,"3,357"
Legends of Venari Gilded Pass,3,0,0.7,1.7,4,6.6,373,600
Bushido Apes,3,0,5.9,0,13,0.6,370,222
Crappy Dogecoin Doodles,3,0,18.2,0.1,4,0.2,365,22
Lil Keed X Budweiser Royalty,3,0,0.7,0,3,0.1,363,435
ArcadeOG,3,0,0.4,0.3,3,0.9,362,843
Leo Conoza X Budweiser Royalty,3,0,0.7,0,3,0.1,362,446
Syn City Genesis Pass,3,0,0.7,4.7,3,14,359,408
Roxel Alpha,3,0,0.2,0,4,0,356,"2,372"
Excess Bits,3,0,0.7,0,7,0.3,355,"1,024"
Anonymice,3,0,0.1,1.9,6,11.6,353,"10,000"
Miss Metaverse NFT,3,0,2,0,35,1.1,346,"1,787"
//CWS. x Triptcip,3,0,,0,3,0,346,1
CryptoFoxes Origins,3,0,1,0.3,8,2.3,344,829
Fresco Trey X Budweiser Royalty,3,0,0.9,0.1,4,0.4,344,449
Mad Dog Jones,3,0,0.2,1.9,3,5.7,341,"1,657"
ThePlops,3,0,1.5,0,34,0,336,"2,222"
Crypto Todlers NFT,3,0,1,0,7,0.1,335,729
Eth-arely,3,0,0.5,0,3,0,332,555
Anti Collective,3,0,,0.4,3,1,331,1
All that Remains,3,0,,0.9,3,2.7,330,1
MarenDAO,3,0,0.6,0,4,0,328,666
Bad Banana,3,0,0.9,0.1,11,0.6,327,"1,200"
Joe Tamponi: Trading Cards,3,0,8.6,0,5,0.1,318,58
Ethernal Elves Sentinels,3,0,0.1,0.2,6,1.1,317,"4,609"
Bored Ape Comic PRE SALE OFFICIAL SEASON PASS,3,0,,0.3,3,0.9,317,1
Pussy Riot ACAB,3,0,1.5,1.8,5,8.9,310,333
The Daily Gwei - 1 Year Anniversary NFT,3,0,1.1,0.1,4,0.6,308,365
Bankless Locations,3,0,,0.1,4,0.4,308,3
SpeakerHeads Vol. 1,3,0,0.9,0,6,0.1,300,643
Player Tokens,3,0,0,0,21,0.2,297,"73,748"
UltraWave 369 by Beervangeer,3,0,0.8,0.2,3,0.6,289,369
Trust the process and enjoy the ride,3,0,,0.1,3,0.3,285,1
Kinesis Art - Atlanta3D,3,0,0.7,0,4,0,283,540
Bizarros,3,0,0.4,0.1,3,0.2,277,841
Rare Folk,3,0,0.9,0,11,0.4,275,"1,186"
Geohashes (Genesis Collection),3,0,0.6,0,7,0.1,274,"1,251"
Creepz Reptile Armoury,3,0,0,0.6,5,2.8,273,"19,998"
Political Punks,3,0,0.8,0.1,4,0.4,270,496
Tangled by Superblob,3,0,1.1,0.1,4,0.4,270,382
moo cards,3,0,1.6,0,10,0.1,270,629
Bored Ape Pixel Club Official,3,0,0.6,0,3,0.1,269,502
PXG.ETH,3,0,0.6,0,3,0.1,267,550
OGCards,3,0,0.9,0,3,0,266,328
Halloween Bears,3,0,2.8,0,70,0,264,"2,496"
Warp by espina,3,0,0.9,0.1,4,0.4,261,444
GM!,3,0,1.9,0.1,3,0.2,261,161
Generative Transfer Art Project 1,3,0,0.5,0,3,0,259,598
Dear Deer NFT,3,0,1,0,10,0.2,257,"1,013"
Karma DAO (deprecated),3,0,0.6,0.4,3,1,253,503
Never Ending Town,3,0,1.1,0,12,0.1,253,"1,059"
SergDickButts,3,0,0.6,0,3,0.1,252,491
WhIsBe,3,0,0,0.6,3,1.8,251,"6,862"
Nomad Blvd | Mint Pass,3,0,,0.6,3,1.8,249,2
Orathai Cat,3,0,1,0.2,5,1,246,500
FEWOCiOUS x ComplexCon,3,0,,1.3,3,3.9,243,1
Wrapped Curio Cards,3,0,21.4,1,3,3,238,14
GM420,3,0,1,0.3,4,1.3,238,420
Unicode (for Geeks),3,0,7,0,200,0.6,237,"2,842"
Bored Ape Ladies Collective,3,0,11.8,0.1,6,0.5,237,51
Refractions,3,0,,0.1,12,0.6,234,6
SCAMMER MARKET,3,0,3.1,0.1,17,1.7,229,555
The Realm of MU,3,0,90.9,0,10,0.4,229,11
Portion Art Token,3,0,1.5,0,3,0,229,199
Editions x Guido,3,0,,1.4,3,4.3,228,1
Broslavskiy Specials,3,0,,0,3,0.1,226,2
Loot Class (for Adventurers),3,0,0.6,0,3,0,216,545
KIU ART,3,0,0.3,0,4,0,214,"1,555"
Bloom by Blockchance,3,0,1.1,0.1,3,0.3,212,277
The Syndicate NFT,3,0,1.4,0,8,0.1,212,593
Hello fam! NFT Winery,3,0,2.1,0,16,0.6,211,769
Canvas by Felt Zine,3,0,4.8,0.1,24,1.3,210,500
Pixel Kaiju,3,0,0.6,0,4,0.1,210,700
Stimaes,3,0,1.5,0.2,5,0.8,205,333
SpeakerHeads Vol. 0xG3N3S1S,3,0,1.3,0.1,4,0.3,204,310
Doodle Cats,3,0,8.3,0.1,3,0.2,203,36
Pixel Galaxies by PixelGan,3,0,1.3,0,4,0.2,203,300
Turf Objects,3,0,44.4,2.3,4,9.1,202,9
Message //usr: //pub:,3,0,1.7,0,4,0.1,202,243
Product Drops,3,0,,0,3,0,199,1
PACMAN x Genies: Into The Future,3,0,50,0.5,4,1.8,195,8
Eternal Klay Pets,3,0,0.7,0,8,0.2,193,"1,174"
Cryptone Color,3,0,3.7,0,13,0.4,191,353
Greetings from Giza,3,0,1.3,0.2,3,0.7,190,232
Broken Backgrounds,3,0,1.1,0.5,3,1.4,189,267
Interleave superNFT,3,0,,0.4,3,1.1,188,1
Genesis Adventurers (for Loot),3,0,0.9,2.3,4,9.2,187,425
Heartbeat (Metagame),3,0,1.6,0,3,0,185,185
Washington Wizards Starting Five Collection,3,0,,0,7,0.1,183,5
BlockClocks,3,0,1.5,0.1,3,0.4,182,204
UNSHADED ROCKS,3,0,0.8,0.1,5,0.4,182,664
ThankYouX,3,0,0.4,0.1,3,0.4,181,749
Picasso Bored Baby Ape Yacht Club,3,0,0.6,0,3,0,181,481
Transported,3,0,1.7,0,5,0,180,300
Mars26,3,0,0.2,0,3,0,180,"1,371"
RAC Membership,3,0,1.5,0.5,3,1.5,179,200
CryptoFrontPunks,3,0,0.6,0,6,0,179,"1,000"
Crypto Pixel Pepe,3,0,0.4,0.1,3,0.2,178,802
Tide Estates,3,0,60,0.3,3,1,177,5
Everdragons,3,0,0.6,0.4,6,2.2,176,972
Ugly Cuties Art Club (UCAC),3,0,0,0,4,0,174,"9,980"
Hackatao x Blondie,3,0,0.9,1.4,3,4.1,173,323
The Signatures,3,0,1.4,0.8,3,2.3,173,219
Josie,3,0,2.2,10,8,80,169,361
ethEra for Defi,3,0,1.7,0.5,3,1.5,168,181
mecha suits by hideo,3,0,1.2,0.6,3,1.9,167,256
Surreal Mint-Pass,3,0,,0.2,6,1.1,167,4
desultor,3,0,9.4,0.1,8,0.4,166,85
PixMons,3,0,1,0,5,0,166,512
Tiny Turtle,3,0,1.3,0.2,4,0.7,165,300
Abstraction by Hevey,3,0,2,0.2,5,1.1,164,256
Degen Art Club Originals Collection,3,0,2.8,0.3,7,1.8,162,247
Cybernetic Research Group,3,0,1.5,0,14,0,160,949
Messengers by Alexis André,3,0,1.2,1.2,4,4.9,157,349
One Year NFT,3,0,1.9,0,7,0,157,365
Pieces of Me by r4v3n,3,0,1.4,0.2,3,0.6,156,222
Slimesunday,3,0,0.6,1.4,5,6.8,151,819
Mainframes,3,0,2.4,0,7,0,151,287
Autoglyphs,3,0,1.6,195,8,"1,560.00",150,512
Lowest Effort Punks,3,0,1.8,0,12,0.2,150,660
ZombiePunks.Co,3,0,2.3,0,9,0.1,150,389
Eric Rubens Editions,3,0,,0.2,3,0.5,147,1
Ishihara Plates,3,0,1.1,0,3,0,145,267
IFICE,3,0,1.5,0.1,14,1.4,143,934
ADD Generative Drawings,3,0,1.4,0.2,5,0.9,138,363
CAMO splinters (n),3,0,3.1,0,8,0.1,137,256
PREMINT Creator Pass,3,0,2.7,1,4,4,135,150
Formulae by Shvembldr,3,0,1.7,0.3,3,0.9,133,180
Ani Mkhitaryan,3,0,13.6,0.2,6,1.3,132,44
Kaleb's Special Editions,3,0,,0.3,4,1.1,132,4
Struck 2022 Holiday Series,3,0,,0,3,0,132,1
0xApes Genesis,3,0,0.4,0.3,8,2.3,131,"2,273"
Algo Lite,3,0,3.2,0.1,9,0.5,131,278
Moon Protocol,3,0,31.3,0.3,5,1.4,130,16
SALT V4,3,0,1.7,3.9,3,11.6,126,180
KREEPTURE,3,0,,0.2,9,2.2,124,7
Cushions by Devi Parikh,3,0,3.5,0.2,7,1.2,124,200
Ideas of Mountains,3,0,2.4,0.1,5,0.3,121,210
Block Mazing,3,0,2,0,5,0.2,114,256
The Adventures of Bored Stu,3,0,,0,4,0,114,2
Metamaticians,3,0,4.4,5.8,13,75.4,113,293
CryptoCosplay,3,0,4.9,0.2,3,0.6,111,61
Daniel Allan,3,0,2.4,0.6,3,1.8,110,125
Etherpoems,3,0,4.9,0.2,10,1.5,108,206
Life NFT,3,0,1.4,0.2,3,0.6,108,219
The Nanoz,3,0,1.8,0,9,0.2,105,488
INFLUENCERZ,3,0,2.3,0.1,3,0.2,104,131
Hexgen,3,0,2.2,0,4,0.2,100,186
STARKADE: The Lost Fighters,3,0,6.6,2.9,10,28.9,99,151
The Duck Song Meme,3,0,,0.3,5,1.3,99,2
ThankYouX and JN Silva,3,0,0.6,0.3,4,1.2,99,663
TR Lab,3,0,3,6.9,3,20.6,97,100
Los Samos,3,0,2.4,5.5,3,16.5,97,125
MetaLoot,3,0,,0.4,3,1.2,96,1
8-bit Tits,3,0,4.7,0,12,0.1,96,256
Nyan Aoki,3,0,,0.9,3,2.6,95,1
Bored to Death,3,0,,0.4,3,1.2,94,1
Crypto Wrapped 2021,3,0,3.1,0,3,0,94,96
ACK EDITIONS,3,0,54.6,2.4,6,14.4,93,11
SaveArtSpace - CryptoPunks 3D Public Art Spaces,3,0,3.1,0.1,4,0.2,93,130
Crypto Font - Collectible Editions,3,0,2.4,0.1,3,0.3,89,127
The Holy Fool,3,0,7.7,0.1,17,1.7,88,222
Aurora IV by ge1doot,3,0,3.9,2.1,5,10.4,87,128
Victor Mosquera,3,0,0.8,3,3,9,87,399
Rockets NFT,3,0,3.6,0,9,0.2,87,249
It's Because You're Pretty,3,0,3,0.7,3,2.1,86,100
CryptoSpinners,3,0,0.8,0,8,0.1,86,998
WHO WE ARE 200,3,0,2,0.9,4,3.6,85,200
SuperTripLand,3,0,60,0.8,9,7.1,84,15
Gener8tive Tones,3,0,3.2,0.2,4,0.6,84,125
Lonely Shadows: Shadow Mint Passes,3,0,,0,3,0.1,84,3
Headscapes,3,0,5.7,0,14,0.4,83,246
Spooky Cats DAO,3,0,5.9,0,19,0.3,83,325
Biomes A tribute to Conway's Game of Life,3,0,3,0.2,5,1,79,169
Utopia by ge1doot,3,0,2.7,2.5,7,17.5,78,256
Queens+Kings Traits,3,0,1.9,0.1,23,1.8,78,"1,194"
By Way of Water,3,0,9,1,9,9,76,100
HOPPERS,3,0,4.2,1.8,5,9,76,120
Dick Doods Official,3,0,2.6,0,5,0.1,74,191
Asterisms by Falko,3,0,3,0.8,3,2.4,71,100
HBD NFT,3,0,5.3,0,8,0,71,152
KEBAP TRIP,3,0,83.3,0,5,0.2,70,6
Ancient Avatars,3,0,2.7,2.5,3,7.5,69,113
Genegeosis,3,0,3.1,0.2,5,1,69,161
Bryan Brinkman,3,0,1.1,0.5,4,2,68,350
The Trapped Nouns,3,0,3.1,0.1,3,0.3,68,98
Incomplete Control by Tyler Hobbs,3,0,3,80.9,3,242.6,67,100
Defaced 'N' Friends,3,0,5,4.5,5,22.5,65,100
Gab's Beach Club,3,0,75,0.2,3,0.7,65,4
Energy Sketch,3,0,8.3,0.2,10,2,64,120
Gravity Grid by Eliya Stein,3,0,3.7,1.5,3,4.5,63,81
Luxeto Punk Sneaker,3,0,3.1,0.5,3,1.5,62,98
STARBOT UNIVERSE,3,0,13,0,16,0.4,62,123
Future Land,3,0,3.2,0.1,7,0.4,62,220
Pussy Riot on Sound.xyz,3,0,4.4,1.5,3,4.5,60,69
AlphaModica by Danooka,3,0,10.8,0.2,8,1.5,57,74
COMPLEXTOADZ NFT,3,0,8.8,0.2,7,1.1,57,80
Crayon Codes,3,0,3.7,0.2,5,0.8,54,134
Diego Rodriguez,3,0,5.3,0.3,4,1,53,76
Baby Alien Invasion Club,3,0,9.6,0,26,1.2,52,271
Extension Loot,3,0,3,0,6,0.1,52,200
Squiggly,3,0,6,20,6,120,51,100
Artifex Experiences,3,0,,69.4,6,416.5,50,3
ONY 2 by Shvembldr,3,0,14.3,0.5,10,5,49,70
6529 Gradient,3,0,3,3,3,9,48,101
Ordinary Trading Center,3,0,6.8,0.4,4,1.7,48,59
Into The Melloverse,3,0,5.9,0.4,3,1.2,48,51
Nifty Royale X Ryan Newburn GM Iceland,3,0,9.8,0,5,0.2,47,51
The Creature Swole'd,3,0,7.3,0,4,0.2,47,55
Alex Soh - Solar Coffee Project - Collection of 88 Photos,3,0,3.4,0.2,3,0.5,43,88
Metaverse HQ Collabs,3,0,,0.2,3,0.6,40,1
Obscura Curated,3,0,11.5,2,10,20,39,87
A Southern Horror by Kris Graves,3,0,2.9,0.5,5,2.3,39,175
The Eternal Pump by Dmitri Cherniak,3,0,8,"1,200.00",4,"4,800.00",37,50
Cyber Streets by illkoncept,3,0,5.5,0.4,3,1.2,37,55
Aerial Dreamscapes,3,0,7.5,0.3,3,0.9,35,40
The Wrapture by Dmitri Cherniak,3,0,8,0,4,0,35,50
Birds Club,3,0,11.4,0.5,4,2,34,35
QXJ0IEJsb2NrcyBQdXJnYXRvcnk=,3,0,8.3,0.3,4,1.2,34,48
moonholders,3,0,,4,7,28,33,5
POWER SURF,3,0,0.3,0,3,0,33,"1,000"
SK876 - A Portrait of Jamaican Skateboarding,3,0,9.1,0.7,5,3.5,31,55
Trey Ratcliff Drop 1,3,0,50,1.1,3,3.3,31,6
Frank Ape - Frank Friends Series 2 - 51 to 100,3,0,10,0.6,5,3,31,50
Jake Inez - Limited Editions,3,0,,0.2,3,0.6,31,1
Chimpers Genesis,3,0,9.7,50,3,150,30,31
BRAiN VOMiTS DiGiTAL WORLD,3,0,14.3,2.3,6,13.5,29,42
House of Ones,3,0,10.2,1,6,6,29,59
GeoCuts,3,0,18,1,9,9,28,50
Hold your breath. Make a wish. Count to three.,3,0,20,1.2,4,4.8,28,20
Things Never Go My Way,3,0,10,0.9,3,2.6,26,30
Flowing Earth,3,0,14,0.3,7,2.1,26,50
DOMAIN - ETHEREA,3,0,6.9,0.3,7,1.8,26,101
CryptoCitizens Mint Pack,3,0,6,51,3,153,25,50
The Passionate Pursuit,3,0,12.1,1,4,4,25,33
A Silent Movie,3,0,18.9,0.5,7,3.5,24,37
DeeKay,3,0,,0,3,0,24,1
Rare Bears,3,0,18.8,0,3,0,23,16
IlluminatiNFT Illuminaries,3,0,12,75,3,225,22,25
Suburbia Mexicana Part I Fragmented Cities,3,0,12.5,2,4,8,22,32
Apocalypse Font,3,0,13.9,6,5,30,20,36
DEGENERATIVE ART by JAKE,3,0,14.8,2,4,7.9,20,27
Memories From The Other Side,3,0,26.7,3,8,24,18,30
Okazz's Generative Art NFT,3,0,15,1,6,6,18,40
Sound  of  Silence,3,0,10,0.3,4,1,18,40
A Moment Forever,3,0,12,0.3,3,0.8,18,25
Fishbowl Heads Honorary,3,0,16.7,0,3,0,18,18
Proof of Work V1,3,0,18.5,9,5,45,17,27
Earth's Landscapes Alive: Genesis Series,3,0,10,5,3,15,17,30
A Moment Forever - The Stories By Lola Hubner,3,0,15,1,3,3,17,20
22 Pigeons,3,0,30.4,15,7,105,14,23
Cubism By Ravicon,3,0,1.5,0.1,3,0.2,14,200
Symphonies,3,0,6.4,0.1,3,0.2,14,47
Ride or Die x,3,0,23.5,3.2,4,12.9,10,17
JobRun,3,0,15,0.1,3,0.2,8,20
community triptych,3,0,33.3,1.5,3,4.5,7,9
Dodgers MLB Crypto,2,0,0,0.2,2,0.4,"39,610","39,999"
0xUniverse: Galaxy Home (Ethereum),2,0,0,0,8,0,"10,715","402,981"
Project Galaxy NFT,2,0,0,0,2,0,"9,065","12,236"
Undead Pastel Club,2,0,0.5,0.1,50,5,"6,593","9,999"
Robotos Originals,2,0,13.6,0,3,0,"6,232",22
Prime Kong Planet by PAP,2,0,0,0.6,3,1.9,"6,045","9,700"
Kindergarten BabyApes (KBA),2,0,0.1,0,9,0.1,"5,589","10,000"
Baby Shiba Social Club Official,2,0,0,0.1,3,0.3,"5,496","8,882"
Meta Legends,2,0,0,0.2,3,0.6,"5,290","12,345"
Stoner Ape Club | SAC,2,0,0,0.2,2,0.4,"4,747","6,666"
Unique Identity,2,0,,0.1,2,0.2,"4,733",2
BlockchainBikers,2,0,0.1,0,5,0,"4,650","11,106"
KCG,2,0,0.1,0.2,5,1.2,"4,485","7,852"
PolkaPets TCG,2,0,7.3,0,3,0,"4,457",41
White Rabbit by GATE,2,0,0.2,0,14,0.6,"4,437","8,765"
Evolved Apes Inc,2,0,0.1,0,6,0.1,"4,369","9,981"
The Cyclops Monkey Club,2,0,0,0,2,0,"4,190","6,666"
Pluto Alliance V2,2,0,0.1,0,5,0.2,"4,109","10,000"
Baby Ghosts,2,0,0.3,0,32,1.6,"4,089","10,000"
VOX Collectibles: Mirandus,2,0,0,1.5,2,3,"4,064","8,328"
hausphases by Haus,2,0,0,0.8,2,1.7,"4,012","7,777"
Moon Ape Lab Genesis,2,0,0.1,0.1,8,1.1,"3,793","8,000"
INNOCENTCATS NFT,2,0,0,0.3,4,1.1,"3,766","9,025"
Metaclubbers,2,0,0.1,0.1,4,0.5,"3,739","5,800"
Laid Back Llamas Collection,2,0,0.1,0.2,7,1.1,"3,705","7,000"
Genzee,2,0,0,0.1,3,0.3,"3,700","9,944"
Jailed Baby Ape Club,2,0,0.1,0,9,0.1,"3,542","8,989"
Animal Society,2,0,0,0,3,0,"3,531","7,777"
Angry Boars,2,0,0,0,2,0,"3,437","10,000"
VOX Collectibles,2,0,0,1.9,2,3.7,"3,413","8,888"
Bad Kids Alley Official,2,0,0,0,3,0,"3,337","8,888"
Frogs In Disguise,2,0,0.1,0,5,0,"3,234","10,005"
Lady KILLAz,2,0,0.1,0,11,0.2,"3,143","9,971"
MetaTravelers: Nibiru,2,0,0.1,0,6,0.2,"3,077","7,777"
Fudders,2,0,0.1,0,8,0.3,"2,994","6,464"
SuperWorld,2,0,0.9,0.1,128,12.8,"2,965","15,129"
Official Project Shura,2,0,0.3,0,17,0.5,"2,935","5,500"
Chameleon Collective,2,0,0.1,0,6,0.3,"2,935","10,000"
Bubblegum Puppies,2,0,0,0.1,2,0.1,"2,908","10,000"
BrokenSeaDAO,2,0,0.2,0,15,0.1,"2,900","9,995"
PxlFangs,2,0,0,0.1,2,0.1,"2,847","5,945"
Meka Ape Club (Official),2,0,0.1,0.2,5,0.9,"2,842","5,640"
Hewer Clan,2,0,0.1,0,12,0.1,"2,792","9,999"
The KittyButts,2,0,0,0,4,0,"2,721","10,000"
DonutShop,2,0,0.1,0.2,4,0.6,"2,710","4,444"
Party Grandpa | Retirement Club,2,0,0,0,2,0,"2,695","6,000"
Rebel Seals Club | RSC,2,0,0.3,0,25,1,"2,673","9,998"
Cool Ape Club Official,2,0,0.3,0.1,15,0.8,"2,671","5,555"
WickensNFT,2,0,0.1,0,8,0.3,"2,630","6,666"
The Modz,2,0,0.1,0,7,0.3,"2,619","5,555"
Ponpave,2,0,0,0,2,0,"2,600","5,000"
SEKUSHI GIRLS,2,0,0.8,0,61,0.2,"2,582","7,269"
Dirty Dogs NFT,2,0,0.2,0,14,0.1,"2,537","6,445"
Ponzi Panthers,2,0,0.2,0.1,11,1.1,"2,493","4,949"
The Loyalists Collection,2,0,,0.2,2,0.4,"2,404",1
Nostalgia by YMH,2,0,0.1,2,2,3.9,"2,396","2,703"
EtherGals,2,0,0,0,2,0,"2,373","5,536"
Ghidorah Godz,2,0,0.2,0,10,0.2,"2,321","5,999"
YGG Sword and Shield,2,0,0.1,0,4,0.2,"2,306","4,848"
Waifusion,2,0,0,0.1,3,0.2,"2,304","16,383"
Deadbears Official,2,0,0.1,0,8,0.1,"2,257","10,000"
Yakuza Inc. Official,2,0,0.1,0.1,2,0.3,"2,253","3,223"
Citizens of Bulliever Island,2,0,0.3,0.2,25,4.5,"2,247","10,000"
CryptoApes Official,2,0,0,0.1,3,0.4,"2,243","6,969"
Mask Billionaire Club,2,0,0.1,0.2,2,0.3,"2,135","3,333"
One Day Hype Train,2,0,0.1,0,6,0,"2,115","10,000"
Byteosaurus,2,0,0,0,3,0.1,"2,094","9,659"
CleverGirls NFT,2,0,0.2,0,12,0.1,"2,055","5,555"
PepemonWorld,2,0,11.3,0,9,0.1,"2,043",80
ELVEN,2,0,0.2,0,10,0.2,"2,038","6,000"
ExpansionPhunks,2,0,0,0,3,0,"2,032","10,000"
RandoMice Genesis,2,0,0.1,0,4,0,"2,030","6,969"
SympathyForTheDevils,2,0,0.1,0,4,0.1,"2,029","5,764"
Monas,2,0,0.1,0,3,0.1,"1,965","5,002"
Baby Llama Chemistry Labs,2,0,,0,2,0,"1,960",2
OctoHedz Reloaded,2,0,0.2,0,16,0.5,"1,954","8,001"
Clash of Dragonz Official,2,0,0.2,0.1,7,0.5,"1,905","3,911"
Fxck Face,2,0,0.1,0,4,0,"1,900","5,328"
Council of Kingz Official,2,0,0.1,0.2,11,1.8,"1,892","7,777"
RSS3 Whitepaper,2,0,0.1,0.2,2,0.3,"1,880","2,048"
Holy Cows,2,0,0.1,0,4,0.1,"1,867","5,000"
NBAYC,2,0,0.1,0.1,3,0.2,"1,866","5,000"
Chibi Apes,2,0,0.1,0.2,2,0.4,"1,860","3,000"
THORWallet Army,2,0,0.1,0.1,2,0.1,"1,853","2,013"
Derpy Birbs,2,0,0,0,3,0,"1,838","8,192"
Old Ape Country Club Official,2,0,0.2,0,8,0.1,"1,835","5,000"
Spicy Pumpkins,2,0,0.2,0,9,0,"1,828","4,444"
BrokeBoyz,2,0,0.1,0.1,9,0.5,"1,826","6,943"
Cupcats Official,2,0,0.1,0.4,3,1.3,"1,796","5,009"
Staked Critterz,2,0,1.1,0,40,0.4,"1,790","3,497"
Guppy Gang,2,0,0.1,0.2,5,0.9,"1,756","8,001"
Players Only (Official),2,0,0.1,0,4,0.1,"1,753","4,456"
Egg Heads Club,2,0,0.1,0.1,3,0.3,"1,751","3,499"
MUTANT PUNKS CITY,2,0,1,0,36,1.1,"1,727","3,609"
Like Nastya,2,0,0.1,0,8,0,"1,719","11,259"
Chibi Galaxy,2,0,0.1,0.1,3,0.4,"1,711","3,500"
MetaLizards Official,2,0,0.1,0.1,4,0.2,"1,699","4,444"
ZombieToadz,2,0,0.4,0,20,0.2,"1,674","5,554"
MunchiesNFT Collection,2,0,0.1,0.1,6,0.4,"1,672","4,380"
PunkForce,2,0,0.1,0,4,0,"1,650","3,500"
HatchDracoNFT,2,0,0.1,0,11,0,"1,650","8,050"
Rivermen,2,0,0.1,0.1,10,0.9,"1,601","9,966"
RagingRhinos,2,0,0.2,0,10,0,"1,591","5,000"
Beatnik Tiki Tribe,2,0,0.1,0,4,0.1,"1,569","4,998"
DAVA Humanoids,2,0,0.1,0,13,0.6,"1,558","9,838"
dogedash,2,0,0.2,0.1,7,0.4,"1,549","4,120"
KittyCatNFT,2,0,0.2,0,15,0,"1,526","9,177"
Blockchain Miners Club Official,2,0,0.2,0.4,4,1.8,"1,522","2,221"
Acrocalypse,2,0,0.1,0.1,5,0.3,"1,502","5,152"
The Medieval Pixels,2,0,0.1,0,10,0,"1,502","10,000"
